Deck,Average Win Rate,[meta] ゲッコウガ (ID管理構成),[meta] 真・究極オノノクス (安定型),[meta] 究極オノノクス・アイリス,[experimental] メガアブソルex・リーシャン (ロック加速型),[experimental] メガアブソルex ディザスター,[experimental] リーシャン グッズロック妨害,[energy_accel] ピカチュウex Tier-1 (ID管理),[energy_accel] water_axis_121_v1,[energy_accel] water_axis_121_v2,[evolve_power] dragon_axis_149_v1,[evolve_power] dragon_axis_149_v2,[evolve_power] dragon_axis_149_v3,[gimmick] colorless_axis_143_v1,[gimmick] colorless_axis_143_v2,[gimmick] colorless_axis_143_v3,[hand_dest] ヘルガー・マーズ 絶望のハンデス,[one_shot] fire_axis_146_v1,[one_shot] fire_axis_146_v2,[one_shot] fire_axis_146_v3,[sleep] ダークライ 漆黒の眠り,[sleep] dark_axis_10359_v1,[sleep] dark_axis_10359_v2,[アブソルex] アブソルex 軸,[サンダーex] サンダーex 軸,[ダークライex] ダークライex 軸,[ピカチュウex] ピカチュウex 軸,[メガアブソルex] メガアブソルex 軸,[experimental] ダークライex 加速アグロ,[experimental] メガライボルトex スピードターボ,[experimental] ゲッコウガ 特性特化 (水エネ0枚)
[gimmick] colorless_axis_143_v1,23.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.0%,36.0%,36.0%,52.0%,58.0%,-,40.0%,46.0%,56.0%,52.0%,52.0%,66.0%,0.0%,38.0%,54.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[gimmick] colorless_axis_143_v2,23.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.0%,46.0%,56.0%,44.0%,54.0%,52.0%,-,42.0%,44.0%,58.0%,54.0%,50.0%,0.0%,44.0%,54.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[gimmick] colorless_axis_143_v3,24.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.0%,48.0%,58.0%,52.0%,44.0%,58.0%,52.0%,-,66.0%,48.0%,38.0%,58.0%,0.0%,48.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[hand_dest] ヘルガー・マーズ 絶望のハンデス,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.0%,62.0%,54.0%,50.0%,52.0%,46.0%,28.0%,48.0%,-,50.0%,44.0%,44.0%,0.0%,48.0%,38.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[one_shot] fire_axis_146_v1,23.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.0%,54.0%,38.0%,52.0%,48.0%,50.0%,54.0%,48.0%,56.0%,-,52.0%,44.0%,0.0%,60.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[one_shot] fire_axis_146_v2,23.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.0%,50.0%,44.0%,54.0%,44.0%,50.0%,46.0%,52.0%,58.0%,46.0%,-,50.0%,0.0%,56.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[one_shot] fire_axis_146_v3,23.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.0%,32.0%,38.0%,52.0%,64.0%,42.0%,58.0%,50.0%,50.0%,54.0%,54.0%,-,0.0%,52.0%,48.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[sleep] ダークライ 漆黒の眠り,70.6%,96.0%,4.3%,0.0%,65.2%,26.9%,80.0%,48.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,-,100.0%,100.0%,19.4%,46.4%,13.8%,6.7%,31.8%,40.6%,ERR,95.8%
[sleep] dark_axis_10359_v1,24.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.0%,58.0%,50.0%,58.0%,50.0%,44.0%,58.0%,56.0%,60.0%,70.0%,42.0%,50.0%,0.0%,-,52.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[sleep] dark_axis_10359_v2,24.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,48.0%,52.0%,54.0%,52.0%,56.0%,40.0%,56.0%,64.0%,44.0%,50.0%,42.0%,52.0%,0.0%,66.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,0.0%
[アブソルex] アブソルex 軸,83.5%,100.0%,6.5%,0.0%,96.9%,87.5%,100.0%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,79.4%,100.0%,100.0%,-,44.4%,32.6%,53.7%,58.3%,89.5%,ERR,100.0%
[サンダーex] サンダーex 軸,78.6%,100.0%,8.1%,0.0%,100.0%,50.0%,100.0%,57.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,64.7%,100.0%,100.0%,45.7%,-,29.4%,2.9%,50.0%,93.1%,ERR,100.0%
[ダークライex] ダークライex 軸,83.6%,100.0%,6.7%,0.0%,97.1%,61.8%,100.0%,58.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,87.9%,100.0%,100.0%,78.4%,66.7%,-,2.5%,83.9%,96.6%,ERR,100.0%
[ピカチュウex] ピカチュウex 軸,86.7%,100.0%,19.4%,0.0%,93.1%,35.5%,100.0%,88.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,96.9%,100.0%,100.0%,54.1%,94.1%,97.2%,-,50.0%,100.0%,ERR,100.0%
[メガアブソルex] メガアブソルex 軸,79.7%,100.0%,0.0%,0.0%,95.2%,33.3%,100.0%,83.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,77.3%,100.0%,100.0%,35.7%,58.3%,32.0%,35.5%,-,80.0%,ERR,100.0%
[experimental] ダークライex 加速アグロ,63.4%,84.0%,3.7%,0.0%,32.3%,11.5%,61.5%,23.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,22.7%,100.0%,100.0%,13.3%,10.7%,0.0%,9.7%,16.7%,-,ERR,86.7%
[experimental] メガライボルトex スピードターボ,0.0%,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,-,ERR
[experimental] ゲッコウガ 特性特化 (水エネ0枚),53.6%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,ERR,-
