id,name,type,card_type,hp,stage,evolves_from,ability,effect,attack1_name,attack1_cost,attack1_damage,attack1_effect,attack2_name,attack2_cost,attack2_damage,attack2_effect,description
31,未設定ポケモン_31,,Pokemon,,,,,,,,,,,,,,
32,未設定ポケモン_32,,Pokemon,,,,,,,,,,,,,,
33,未設定ポケモン_33,,Pokemon,,,,,,,,,,,,,,
34,未設定ポケモン_34,,Pokemon,,,,,,,,,,,,,,
35,未設定ポケモン_35,,Pokemon,,,,,,,,,,,,,,
36,未設定ポケモン_36,,Pokemon,,,,,,,,,,,,,,
37,未設定ポケモン_37,,Pokemon,,,,,,,,,,,,,,
38,未設定ポケモン_38,,Pokemon,,,,,,,,,,,,,,
39,未設定ポケモン_39,,Pokemon,,,,,,,,,,,,,,
40,未設定ポケモン_40,,Pokemon,,,,,,,,,,,,,,
41,未設定ポケモン_41,,Pokemon,,,,,,,,,,,,,,
42,未設定ポケモン_42,,Pokemon,,,,,,,,,,,,,,
43,未設定ポケモン_43,,Pokemon,,,,,,,,,,,,,,
44,未設定ポケモン_44,,Pokemon,,,,,,,,,,,,,,
45,未設定ポケモン_45,,Pokemon,,,,,,,,,,,,,,
46,未設定ポケモン_46,,Pokemon,,,,,,,,,,,,,,
47,未設定ポケモン_47,,Pokemon,,,,,,,,,,,,,,
48,未設定ポケモン_48,,Pokemon,,,,,,,,,,,,,,
49,未設定ポケモン_49,,Pokemon,,,,,,,,,,,,,,
50,未設定ポケモン_50,,Pokemon,,,,,,,,,,,,,,
51,未設定ポケモン_51,,Pokemon,,,,,,,,,,,,,,
52,未設定ポケモン_52,,Pokemon,,,,,,,,,,,,,,
53,未設定ポケモン_53,,Pokemon,,,,,,,,,,,,,,
54,未設定ポケモン_54,,Pokemon,,,,,,,,,,,,,,
55,未設定ポケモン_55,,Pokemon,,,,,,,,,,,,,,
56,未設定ポケモン_56,,Pokemon,,,,,,,,,,,,,,
57,未設定ポケモン_57,,Pokemon,,,,,,,,,,,,,,
58,未設定ポケモン_58,,Pokemon,,,,,,,,,,,,,,
59,未設定ポケモン_59,,Pokemon,,,,,,,,,,,,,,
60,未設定ポケモン_60,,Pokemon,,,,,,,,,,,,,,
61,未設定ポケモン_61,,Pokemon,,,,,,,,,,,,,,
62,未設定ポケモン_62,,Pokemon,,,,,,,,,,,,,,
63,未設定ポケモン_63,,Pokemon,,,,,,,,,,,,,,
64,未設定ポケモン_64,,Pokemon,,,,,,,,,,,,,,
65,未設定ポケモン_65,,Pokemon,,,,,,,,,,,,,,
66,未設定ポケモン_66,,Pokemon,,,,,,,,,,,,,,
67,未設定ポケモン_67,,Pokemon,,,,,,,,,,,,,,
68,未設定ポケモン_68,,Pokemon,,,,,,,,,,,,,,
69,未設定ポケモン_69,,Pokemon,,,,,,,,,,,,,,
70,未設定ポケモン_70,,Pokemon,,,,,,,,,,,,,,
71,未設定ポケモン_71,,Pokemon,,,,,,,,,,,,,,
72,未設定ポケモン_72,,Pokemon,,,,,,,,,,,,,,
73,未設定ポケモン_73,,Pokemon,,,,,,,,,,,,,,
74,未設定ポケモン_74,,Pokemon,,,,,,,,,,,,,,
75,未設定ポケモン_75,,Pokemon,,,,,,,,,,,,,,
76,未設定ポケモン_76,,Pokemon,,,,,,,,,,,,,,
77,未設定ポケモン_77,,Pokemon,,,,,,,,,,,,,,
78,未設定ポケモン_78,,Pokemon,,,,,,,,,,,,,,
79,未設定ポケモン_79,,Pokemon,,,,,,,,,,,,,,
80,未設定ポケモン_80,,Pokemon,,,,,,,,,,,,,,
81,未設定ポケモン_81,,Pokemon,,,,,,,,,,,,,,
82,未設定ポケモン_82,,Pokemon,,,,,,,,,,,,,,
83,未設定ポケモン_83,,Pokemon,,,,,,,,,,,,,,
84,未設定ポケモン_84,,Pokemon,,,,,,,,,,,,,,
85,未設定ポケモン_85,,Pokemon,,,,,,,,,,,,,,
86,未設定ポケモン_86,,Pokemon,,,,,,,,,,,,,,
87,未設定ポケモン_87,,Pokemon,,,,,,,,,,,,,,
88,未設定ポケモン_88,,Pokemon,,,,,,,,,,,,,,
89,未設定ポケモン_89,,Pokemon,,,,,,,,,,,,,,
90,未設定ポケモン_90,,Pokemon,,,,,,,,,,,,,,
91,未設定ポケモン_91,,Pokemon,,,,,,,,,,,,,,
92,未設定ポケモン_92,,Pokemon,,,,,,,,,,,,,,
93,未設定ポケモン_93,,Pokemon,,,,,,,,,,,,,,
94,未設定ポケモン_94,,Pokemon,,,,,,,,,,,,,,
95,未設定ポケモン_95,,Pokemon,,,,,,,,,,,,,,
96,未設定ポケモン_96,,Pokemon,,,,,,,,,,,,,,
97,未設定ポケモン_97,,Pokemon,,,,,,,,,,,,,,
98,未設定ポケモン_98,,Pokemon,,,,,,,,,,,,,,
99,未設定ポケモン_99,,Pokemon,,,,,,,,,,,,,,
100,未設定ポケモン_100,,Pokemon,,,,,,,,,,,,,,
101,未設定ポケモン_101,,Pokemon,,,,,,,,,,,,,,
102,未設定ポケモン_102,,Pokemon,,,,,,,,,,,,,,
103,未設定ポケモン_103,,Pokemon,,,,,,,,,,,,,,
104,未設定ポケモン_104,,Pokemon,,,,,,,,,,,,,,
105,未設定ポケモン_105,,Pokemon,,,,,,,,,,,,,,
106,未設定ポケモン_106,,Pokemon,,,,,,,,,,,,,,
107,未設定ポケモン_107,,Pokemon,,,,,,,,,,,,,,
108,未設定ポケモン_108,,Pokemon,,,,,,,,,,,,,,
109,未設定ポケモン_109,,Pokemon,,,,,,,,,,,,,,
110,未設定ポケモン_110,,Pokemon,,,,,,,,,,,,,,
111,未設定ポケモン_111,,Pokemon,,,,,,,,,,,,,,
112,未設定ポケモン_112,,Pokemon,,,,,,,,,,,,,,
113,未設定ポケモン_113,,Pokemon,,,,,,,,,,,,,,
114,未設定ポケモン_114,,Pokemon,,,,,,,,,,,,,,
115,未設定ポケモン_115,,Pokemon,,,,,,,,,,,,,,
116,未設定ポケモン_116,,Pokemon,,,,,,,,,,,,,,
117,未設定ポケモン_117,,Pokemon,,,,,,,,,,,,,,
118,未設定ポケモン_118,,Pokemon,,,,,,,,,,,,,,
119,未設定ポケモン_119,,Pokemon,,,,,,,,,,,,,,
120,未設定ポケモン_120,,Pokemon,,,,,,,,,,,,,,
121,未設定ポケモン_121,,Pokemon,,,,,,,,,,,,,,
122,未設定ポケモン_122,,Pokemon,,,,,,,,,,,,,,
123,未設定ポケモン_123,,Pokemon,,,,,,,,,,,,,,
124,未設定ポケモン_124,,Pokemon,,,,,,,,,,,,,,
125,未設定ポケモン_125,,Pokemon,,,,,,,,,,,,,,
126,未設定ポケモン_126,,Pokemon,,,,,,,,,,,,,,
127,未設定ポケモン_127,,Pokemon,,,,,,,,,,,,,,
128,未設定ポケモン_128,,Pokemon,,,,,,,,,,,,,,
129,未設定ポケモン_129,,Pokemon,,,,,,,,,,,,,,
130,未設定ポケモン_130,,Pokemon,,,,,,,,,,,,,,
131,未設定ポケモン_131,,Pokemon,,,,,,,,,,,,,,
132,未設定ポケモン_132,,Pokemon,,,,,,,,,,,,,,
133,未設定ポケモン_133,,Pokemon,,,,,,,,,,,,,,
134,未設定ポケモン_134,,Pokemon,,,,,,,,,,,,,,
135,未設定ポケモン_135,,Pokemon,,,,,,,,,,,,,,
136,未設定ポケモン_136,,Pokemon,,,,,,,,,,,,,,
137,未設定ポケモン_137,,Pokemon,,,,,,,,,,,,,,
138,未設定ポケモン_138,,Pokemon,,,,,,,,,,,,,,
139,未設定ポケモン_139,,Pokemon,,,,,,,,,,,,,,
140,未設定ポケモン_140,,Pokemon,,,,,,,,,,,,,,
141,未設定ポケモン_141,,Pokemon,,,,,,,,,,,,,,
142,未設定ポケモン_142,,Pokemon,,,,,,,,,,,,,,
143,未設定ポケモン_143,,Pokemon,,,,,,,,,,,,,,
144,未設定ポケモン_144,,Pokemon,,,,,,,,,,,,,,
145,サンダーex,Lightning,Pokemon,140,0,,,,ハリケーンサンダー,3,100,,,,,,
146,未設定ポケモン_146,,Pokemon,,,,,,,,,,,,,,
147,未設定ポケモン_147,,Pokemon,,,,,,,,,,,,,,
148,未設定ポケモン_148,,Pokemon,,,,,,,,,,,,,,
149,未設定ポケモン_149,,Pokemon,,,,,,,,,,,,,,
150,未設定ポケモン_150,,Pokemon,,,,,,,,,,,,,,
151,未設定ポケモン_151,,Pokemon,,,,,,,,,,,,,,
152,未設定ポケモン_152,,Pokemon,,,,,,,,,,,,,,
153,未設定ポケモン_153,,Pokemon,,,,,,,,,,,,,,
154,未設定ポケモン_154,,Pokemon,,,,,,,,,,,,,,
155,未設定ポケモン_155,,Pokemon,,,,,,,,,,,,,,
156,未設定ポケモン_156,,Pokemon,,,,,,,,,,,,,,
157,未設定ポケモン_157,,Pokemon,,,,,,,,,,,,,,
158,未設定ポケモン_158,,Pokemon,,,,,,,,,,,,,,
159,未設定ポケモン_159,,Pokemon,,,,,,,,,,,,,,
160,未設定ポケモン_160,,Pokemon,,,,,,,,,,,,,,
161,未設定ポケモン_161,,Pokemon,,,,,,,,,,,,,,
162,未設定ポケモン_162,,Pokemon,,,,,,,,,,,,,,
163,未設定ポケモン_163,,Pokemon,,,,,,,,,,,,,,
164,未設定ポケモン_164,,Pokemon,,,,,,,,,,,,,,
165,未設定ポケモン_165,,Pokemon,,,,,,,,,,,,,,
166,未設定ポケモン_166,,Pokemon,,,,,,,,,,,,,,
167,未設定ポケモン_167,,Pokemon,,,,,,,,,,,,,,
168,未設定ポケモン_168,,Pokemon,,,,,,,,,,,,,,
169,未設定ポケモン_169,,Pokemon,,,,,,,,,,,,,,
170,未設定ポケモン_170,,Pokemon,,,,,,,,,,,,,,
171,未設定ポケモン_171,,Pokemon,,,,,,,,,,,,,,
172,未設定ポケモン_172,,Pokemon,,,,,,,,,,,,,,
173,未設定ポケモン_173,,Pokemon,,,,,,,,,,,,,,
174,未設定ポケモン_174,,Pokemon,,,,,,,,,,,,,,
175,未設定ポケモン_175,,Pokemon,,,,,,,,,,,,,,
176,未設定ポケモン_176,,Pokemon,,,,,,,,,,,,,,
177,未設定ポケモン_177,,Pokemon,,,,,,,,,,,,,,
178,未設定ポケモン_178,,Pokemon,,,,,,,,,,,,,,
179,未設定ポケモン_179,,Pokemon,,,,,,,,,,,,,,
180,未設定ポケモン_180,,Pokemon,,,,,,,,,,,,,,
181,未設定ポケモン_181,,Pokemon,,,,,,,,,,,,,,
182,未設定ポケモン_182,,Pokemon,,,,,,,,,,,,,,
183,未設定ポケモン_183,,Pokemon,,,,,,,,,,,,,,
184,未設定ポケモン_184,,Pokemon,,,,,,,,,,,,,,
185,未設定ポケモン_185,,Pokemon,,,,,,,,,,,,,,
186,未設定ポケモン_186,,Pokemon,,,,,,,,,,,,,,
187,未設定ポケモン_187,,Pokemon,,,,,,,,,,,,,,
188,未設定ポケモン_188,,Pokemon,,,,,,,,,,,,,,
189,未設定ポケモン_189,,Pokemon,,,,,,,,,,,,,,
190,未設定ポケモン_190,,Pokemon,,,,,,,,,,,,,,
191,未設定ポケモン_191,,Pokemon,,,,,,,,,,,,,,
192,未設定ポケモン_192,,Pokemon,,,,,,,,,,,,,,
193,未設定ポケモン_193,,Pokemon,,,,,,,,,,,,,,
194,未設定ポケモン_194,,Pokemon,,,,,,,,,,,,,,
195,未設定ポケモン_195,,Pokemon,,,,,,,,,,,,,,
196,未設定ポケモン_196,,Pokemon,,,,,,,,,,,,,,
197,未設定ポケモン_197,,Pokemon,,,,,,,,,,,,,,
198,未設定ポケモン_198,,Pokemon,,,,,,,,,,,,,,
199,未設定ポケモン_199,,Pokemon,,,,,,,,,,,,,,
200,未設定ポケモン_200,,Pokemon,,,,,,,,,,,,,,
201,未設定ポケモン_201,,Pokemon,,,,,,,,,,,,,,
202,未設定ポケモン_202,,Pokemon,,,,,,,,,,,,,,
203,未設定ポケモン_203,,Pokemon,,,,,,,,,,,,,,
204,未設定ポケモン_204,,Pokemon,,,,,,,,,,,,,,
205,未設定ポケモン_205,,Pokemon,,,,,,,,,,,,,,
206,未設定ポケモン_206,,Pokemon,,,,,,,,,,,,,,
207,未設定ポケモン_207,,Pokemon,,,,,,,,,,,,,,
208,未設定ポケモン_208,,Pokemon,,,,,,,,,,,,,,
209,未設定ポケモン_209,,Pokemon,,,,,,,,,,,,,,
210,未設定ポケモン_210,,Pokemon,,,,,,,,,,,,,,
211,未設定ポケモン_211,,Pokemon,,,,,,,,,,,,,,
212,未設定ポケモン_212,,Pokemon,,,,,,,,,,,,,,
213,未設定ポケモン_213,,Pokemon,,,,,,,,,,,,,,
214,未設定ポケモン_214,,Pokemon,,,,,,,,,,,,,,
215,未設定ポケモン_215,,Pokemon,,,,,,,,,,,,,,
216,未設定ポケモン_216,,Pokemon,,,,,,,,,,,,,,
217,未設定ポケモン_217,,Pokemon,,,,,,,,,,,,,,
218,未設定ポケモン_218,,Pokemon,,,,,,,,,,,,,,
219,未設定ポケモン_219,,Pokemon,,,,,,,,,,,,,,
220,未設定ポケモン_220,,Pokemon,,,,,,,,,,,,,,
221,未設定ポケモン_221,,Pokemon,,,,,,,,,,,,,,
222,未設定ポケモン_222,,Pokemon,,,,,,,,,,,,,,
223,未設定ポケモン_223,,Pokemon,,,,,,,,,,,,,,
224,未設定ポケモン_224,,Pokemon,,,,,,,,,,,,,,
225,未設定ポケモン_225,,Pokemon,,,,,,,,,,,,,,
226,未設定ポケモン_226,,Pokemon,,,,,,,,,,,,,,
227,未設定ポケモン_227,,Pokemon,,,,,,,,,,,,,,
228,未設定ポケモン_228,,Pokemon,,,,,,,,,,,,,,
229,未設定ポケモン_229,,Pokemon,,,,,,,,,,,,,,
230,未設定ポケモン_230,,Pokemon,,,,,,,,,,,,,,
231,未設定ポケモン_231,,Pokemon,,,,,,,,,,,,,,
232,未設定ポケモン_232,,Pokemon,,,,,,,,,,,,,,
233,未設定ポケモン_233,,Pokemon,,,,,,,,,,,,,,
234,未設定ポケモン_234,,Pokemon,,,,,,,,,,,,,,
235,未設定ポケモン_235,,Pokemon,,,,,,,,,,,,,,
236,未設定ポケモン_236,,Pokemon,,,,,,,,,,,,,,
237,未設定ポケモン_237,,Pokemon,,,,,,,,,,,,,,
238,未設定ポケモン_238,,Pokemon,,,,,,,,,,,,,,
239,未設定ポケモン_239,,Pokemon,,,,,,,,,,,,,,
240,未設定ポケモン_240,,Pokemon,,,,,,,,,,,,,,
241,未設定ポケモン_241,,Pokemon,,,,,,,,,,,,,,
242,未設定ポケモン_242,,Pokemon,,,,,,,,,,,,,,
243,未設定ポケモン_243,,Pokemon,,,,,,,,,,,,,,
244,未設定ポケモン_244,,Pokemon,,,,,,,,,,,,,,
245,未設定ポケモン_245,,Pokemon,,,,,,,,,,,,,,
246,未設定ポケモン_246,,Pokemon,,,,,,,,,,,,,,
247,未設定ポケモン_247,,Pokemon,,,,,,,,,,,,,,
248,未設定ポケモン_248,,Pokemon,,,,,,,,,,,,,,
249,未設定ポケモン_249,,Pokemon,,,,,,,,,,,,,,
250,未設定ポケモン_250,,Pokemon,,,,,,,,,,,,,,
251,未設定ポケモン_251,,Pokemon,,,,,,,,,,,,,,
252,未設定ポケモン_252,,Pokemon,,,,,,,,,,,,,,
253,未設定ポケモン_253,,Pokemon,,,,,,,,,,,,,,
254,未設定ポケモン_254,,Pokemon,,,,,,,,,,,,,,
255,未設定ポケモン_255,,Pokemon,,,,,,,,,,,,,,
256,未設定ポケモン_256,,Pokemon,,,,,,,,,,,,,,
257,未設定ポケモン_257,,Pokemon,,,,,,,,,,,,,,
258,未設定ポケモン_258,,Pokemon,,,,,,,,,,,,,,
259,未設定ポケモン_259,,Pokemon,,,,,,,,,,,,,,
260,未設定ポケモン_260,,Pokemon,,,,,,,,,,,,,,
261,未設定ポケモン_261,,Pokemon,,,,,,,,,,,,,,
262,未設定ポケモン_262,,Pokemon,,,,,,,,,,,,,,
263,未設定ポケモン_263,,Pokemon,,,,,,,,,,,,,,
264,未設定ポケモン_264,,Pokemon,,,,,,,,,,,,,,
265,未設定ポケモン_265,,Pokemon,,,,,,,,,,,,,,
266,未設定ポケモン_266,,Pokemon,,,,,,,,,,,,,,
267,未設定ポケモン_267,,Pokemon,,,,,,,,,,,,,,
268,未設定ポケモン_268,,Pokemon,,,,,,,,,,,,,,
269,未設定ポケモン_269,,Pokemon,,,,,,,,,,,,,,
270,未設定ポケモン_270,,Pokemon,,,,,,,,,,,,,,
271,未設定ポケモン_271,,Pokemon,,,,,,,,,,,,,,
272,未設定ポケモン_272,,Pokemon,,,,,,,,,,,,,,
273,未設定ポケモン_273,,Pokemon,,,,,,,,,,,,,,
274,未設定ポケモン_274,,Pokemon,,,,,,,,,,,,,,
275,未設定ポケモン_275,,Pokemon,,,,,,,,,,,,,,
276,未設定ポケモン_276,,Pokemon,,,,,,,,,,,,,,
277,未設定ポケモン_277,,Pokemon,,,,,,,,,,,,,,
278,未設定ポケモン_278,,Pokemon,,,,,,,,,,,,,,
279,未設定ポケモン_279,,Pokemon,,,,,,,,,,,,,,
280,未設定ポケモン_280,,Pokemon,,,,,,,,,,,,,,
281,未設定ポケモン_281,,Pokemon,,,,,,,,,,,,,,
282,未設定ポケモン_282,,Pokemon,,,,,,,,,,,,,,
283,未設定ポケモン_283,,Pokemon,,,,,,,,,,,,,,
284,未設定ポケモン_284,,Pokemon,,,,,,,,,,,,,,
285,未設定ポケモン_285,,Pokemon,,,,,,,,,,,,,,
286,未設定ポケモン_286,,Pokemon,,,,,,,,,,,,,,
287,未設定ポケモン_287,,Pokemon,,,,,,,,,,,,,,
288,未設定ポケモン_288,,Pokemon,,,,,,,,,,,,,,
289,未設定ポケモン_289,,Pokemon,,,,,,,,,,,,,,
290,未設定ポケモン_290,,Pokemon,,,,,,,,,,,,,,
291,未設定ポケモン_291,,Pokemon,,,,,,,,,,,,,,
292,未設定ポケモン_292,,Pokemon,,,,,,,,,,,,,,
293,未設定ポケモン_293,,Pokemon,,,,,,,,,,,,,,
294,未設定ポケモン_294,,Pokemon,,,,,,,,,,,,,,
295,未設定ポケモン_295,,Pokemon,,,,,,,,,,,,,,
296,未設定ポケモン_296,,Pokemon,,,,,,,,,,,,,,
297,未設定ポケモン_297,,Pokemon,,,,,,,,,,,,,,
298,未設定ポケモン_298,,Pokemon,,,,,,,,,,,,,,
299,未設定ポケモン_299,,Pokemon,,,,,,,,,,,,,,
300,未設定ポケモン_300,,Pokemon,,,,,,,,,,,,,,
301,未設定ポケモン_301,,Pokemon,,,,,,,,,,,,,,
302,未設定ポケモン_302,,Pokemon,,,,,,,,,,,,,,
303,未設定ポケモン_303,,Pokemon,,,,,,,,,,,,,,
304,未設定ポケモン_304,,Pokemon,,,,,,,,,,,,,,
305,未設定ポケモン_305,,Pokemon,,,,,,,,,,,,,,
306,未設定ポケモン_306,,Pokemon,,,,,,,,,,,,,,
307,未設定ポケモン_307,,Pokemon,,,,,,,,,,,,,,
308,未設定ポケモン_308,,Pokemon,,,,,,,,,,,,,,
309,ラクライ,Lightning,Pokemon,60,0,,,,つきとめる,1,10,,,,,,
310,ライボルトex,Lightning,Pokemon,170,0,,,,オーバーラン,1,20,,アサルトレーザー,2,60,,
311,未設定ポケモン_311,,Pokemon,,,,,,,,,,,,,,
312,未設定ポケモン_312,,Pokemon,,,,,,,,,,,,,,
313,未設定ポケモン_313,,Pokemon,,,,,,,,,,,,,,
314,未設定ポケモン_314,,Pokemon,,,,,,,,,,,,,,
315,未設定ポケモン_315,,Pokemon,,,,,,,,,,,,,,
316,未設定ポケモン_316,,Pokemon,,,,,,,,,,,,,,
317,未設定ポケモン_317,,Pokemon,,,,,,,,,,,,,,
318,未設定ポケモン_318,,Pokemon,,,,,,,,,,,,,,
319,未設定ポケモン_319,,Pokemon,,,,,,,,,,,,,,
320,未設定ポケモン_320,,Pokemon,,,,,,,,,,,,,,
321,未設定ポケモン_321,,Pokemon,,,,,,,,,,,,,,
322,未設定ポケモン_322,,Pokemon,,,,,,,,,,,,,,
323,未設定ポケモン_323,,Pokemon,,,,,,,,,,,,,,
324,未設定ポケモン_324,,Pokemon,,,,,,,,,,,,,,
325,未設定ポケモン_325,,Pokemon,,,,,,,,,,,,,,
326,未設定ポケモン_326,,Pokemon,,,,,,,,,,,,,,
327,未設定ポケモン_327,,Pokemon,,,,,,,,,,,,,,
328,未設定ポケモン_328,,Pokemon,,,,,,,,,,,,,,
329,未設定ポケモン_329,,Pokemon,,,,,,,,,,,,,,
330,未設定ポケモン_330,,Pokemon,,,,,,,,,,,,,,
331,未設定ポケモン_331,,Pokemon,,,,,,,,,,,,,,
332,未設定ポケモン_332,,Pokemon,,,,,,,,,,,,,,
333,未設定ポケモン_333,,Pokemon,,,,,,,,,,,,,,
334,未設定ポケモン_334,,Pokemon,,,,,,,,,,,,,,
335,未設定ポケモン_335,,Pokemon,,,,,,,,,,,,,,
336,未設定ポケモン_336,,Pokemon,,,,,,,,,,,,,,
337,未設定ポケモン_337,,Pokemon,,,,,,,,,,,,,,
338,未設定ポケモン_338,,Pokemon,,,,,,,,,,,,,,
339,未設定ポケモン_339,,Pokemon,,,,,,,,,,,,,,
340,未設定ポケモン_340,,Pokemon,,,,,,,,,,,,,,
341,未設定ポケモン_341,,Pokemon,,,,,,,,,,,,,,
342,未設定ポケモン_342,,Pokemon,,,,,,,,,,,,,,
343,未設定ポケモン_343,,Pokemon,,,,,,,,,,,,,,
344,未設定ポケモン_344,,Pokemon,,,,,,,,,,,,,,
345,未設定ポケモン_345,,Pokemon,,,,,,,,,,,,,,
346,未設定ポケモン_346,,Pokemon,,,,,,,,,,,,,,
347,未設定ポケモン_347,,Pokemon,,,,,,,,,,,,,,
348,未設定ポケモン_348,,Pokemon,,,,,,,,,,,,,,
349,未設定ポケモン_349,,Pokemon,,,,,,,,,,,,,,
350,未設定ポケモン_350,,Pokemon,,,,,,,,,,,,,,
351,未設定ポケモン_351,,Pokemon,,,,,,,,,,,,,,
352,未設定ポケモン_352,,Pokemon,,,,,,,,,,,,,,
353,未設定ポケモン_353,,Pokemon,,,,,,,,,,,,,,
354,未設定ポケモン_354,,Pokemon,,,,,,,,,,,,,,
355,未設定ポケモン_355,,Pokemon,,,,,,,,,,,,,,
356,未設定ポケモン_356,,Pokemon,,,,,,,,,,,,,,
357,未設定ポケモン_357,,Pokemon,,,,,,,,,,,,,,
358,未設定ポケモン_358,,Pokemon,,,,,,,,,,,,,,
359,アブソルex,Dark,Pokemon,150,0,,,,わざわいのかぜ,2,60,,,,,,
360,未設定ポケモン_360,,Pokemon,,,,,,,,,,,,,,
361,未設定ポケモン_361,,Pokemon,,,,,,,,,,,,,,
362,未設定ポケモン_362,,Pokemon,,,,,,,,,,,,,,
363,未設定ポケモン_363,,Pokemon,,,,,,,,,,,,,,
364,未設定ポケモン_364,,Pokemon,,,,,,,,,,,,,,
365,未設定ポケモン_365,,Pokemon,,,,,,,,,,,,,,
366,未設定ポケモン_366,,Pokemon,,,,,,,,,,,,,,
367,未設定ポケモン_367,,Pokemon,,,,,,,,,,,,,,
368,未設定ポケモン_368,,Pokemon,,,,,,,,,,,,,,
369,未設定ポケモン_369,,Pokemon,,,,,,,,,,,,,,
370,未設定ポケモン_370,,Pokemon,,,,,,,,,,,,,,
371,未設定ポケモン_371,,Pokemon,,,,,,,,,,,,,,
372,未設定ポケモン_372,,Pokemon,,,,,,,,,,,,,,
373,未設定ポケモン_373,,Pokemon,,,,,,,,,,,,,,
374,未設定ポケモン_374,,Pokemon,,,,,,,,,,,,,,
375,未設定ポケモン_375,,Pokemon,,,,,,,,,,,,,,
376,未設定ポケモン_376,,Pokemon,,,,,,,,,,,,,,
377,未設定ポケモン_377,,Pokemon,,,,,,,,,,,,,,
378,未設定ポケモン_378,,Pokemon,,,,,,,,,,,,,,
379,未設定ポケモン_379,,Pokemon,,,,,,,,,,,,,,
380,未設定ポケモン_380,,Pokemon,,,,,,,,,,,,,,
381,未設定ポケモン_381,,Pokemon,,,,,,,,,,,,,,
382,未設定ポケモン_382,,Pokemon,,,,,,,,,,,,,,
383,未設定ポケモン_383,,Pokemon,,,,,,,,,,,,,,
384,未設定ポケモン_384,,Pokemon,,,,,,,,,,,,,,
385,未設定ポケモン_385,,Pokemon,,,,,,,,,,,,,,
386,未設定ポケモン_386,,Pokemon,,,,,,,,,,,,,,
387,未設定ポケモン_387,,Pokemon,,,,,,,,,,,,,,
388,未設定ポケモン_388,,Pokemon,,,,,,,,,,,,,,
389,未設定ポケモン_389,,Pokemon,,,,,,,,,,,,,,
390,未設定ポケモン_390,,Pokemon,,,,,,,,,,,,,,
391,未設定ポケモン_391,,Pokemon,,,,,,,,,,,,,,
392,未設定ポケモン_392,,Pokemon,,,,,,,,,,,,,,
393,未設定ポケモン_393,,Pokemon,,,,,,,,,,,,,,
394,未設定ポケモン_394,,Pokemon,,,,,,,,,,,,,,
395,未設定ポケモン_395,,Pokemon,,,,,,,,,,,,,,
396,未設定ポケモン_396,,Pokemon,,,,,,,,,,,,,,
397,未設定ポケモン_397,,Pokemon,,,,,,,,,,,,,,
398,未設定ポケモン_398,,Pokemon,,,,,,,,,,,,,,
399,未設定ポケモン_399,,Pokemon,,,,,,,,,,,,,,
400,未設定ポケモン_400,,Pokemon,,,,,,,,,,,,,,
401,未設定ポケモン_401,,Pokemon,,,,,,,,,,,,,,
402,未設定ポケモン_402,,Pokemon,,,,,,,,,,,,,,
403,未設定ポケモン_403,,Pokemon,,,,,,,,,,,,,,
404,未設定ポケモン_404,,Pokemon,,,,,,,,,,,,,,
